"REALINC","REALRINC","WRKSTAT","HRS1","WRKSLF","OCC10","INDUS10","MARITAL","DIVORCE","WIDOWED","SPWRKSTA","SPWRKSLF","SPOCC10","SPIND10","PAWRKSLF","PAOCC10","SIBS","CHILDS","AGE","EDUC","PAEDUC","MAEDUC","SPEDUC","SEX","RACE","RES16","REG16","MOBILE16","FAMILY16","INCOM16","BORN","PARBORN","GRANBORN","HOMPOP","BABIES","PRETEEN","TEENS","ADULTS","UNRELAT","EARNRS","REGION","RELIG","ATTEND","RELIG16","FUND16","SPREL","RACLIVE","HEALTH","WKSUB","WKSUBS","WKSUP","UNEMP","OWNGUN","PHONE","PARTNERS","PASEI10","PRESTG10","SEI10","SPPRES10","SPSEI10","YEAR","ID_","CLASS_","UNION_","ETH1"
43426,26538,"1",40,0,"32","98","1",1,0,"1",0,"98","98",0,"77",4,6,45,15,10,12,13,0,"1","3","2","3","1",3,1,"0","0",4,0,1,1,2,0,2,"4","1",5,"1","2","1",1,"2",1,1,1,1,"1",3,1,46.5,64,84.2,63,63.1,1988,"294","3","4","11"
91587,26538,"1",40,0,"23","54","1",0,0,"1",0,"54","54",0,"54",1,1,41,18,12,12,12,0,"1","3","2","1","1",3,1,"0","1",3,0,0,0,3,0,3,"2","1",3,"1","3","1",0,"1",1,1,0,0,"1",3,1,59.8,61,71.7,33,44.9,1988,"316","3","2","14"
8685,NA,"7",NA,0,"23","55","1",0,0,"1",0,"55","55",0,"92",4,2,23,12,12,12,12,0,"1","5","2","2","8",2,1,"0","0",4,2,0,0,2,0,1,"2","1",7,"1","1","1",1,"1",1,1,0,0,"1",3,1,48.4,53,41.1,29,39.9,1988,"317","1","4","11"
43426,1930,"2",16,0,"18","19","1",0,0,"1",0,"19","19",1,"47",0,2,52,18,12,15,18,0,"1","6","5","2","3",3,1,"0","4",2,0,0,0,2,0,2,"5","3",4,"3","3","3",1,"1",1,1,0,0,"2",3,1,39.7,71,88.7,57,53.8,1988,"320","3","4","23"
31364,22919,"1",40,0,"56","46","1",0,0,"1",1,"46","46",1,"73",3,2,42,7,10,11,12,1,"1","3","5","2","1",3,1,"0","1",4,0,1,1,2,0,2,"5","2",0,"2","2","1",0,"2",1,1,0,1,"1",3,1,33.9,47,69.4,35,21.8,1988,"328","3","4","11"
43426,13269,"7",NA,0,"26","15","1",0,0,"1",0,"15","15",1,"47",0,1,51,16,8,16,14,0,"1","1","5","2","1",4,1,"0","1",3,0,0,1,2,0,3,"5","1",0,"1","3","1",0,"3",0,NA,0,1,"1",3,0,39.7,46,61.4,47,62.7,1988,"331","3","4","14"
31364,31364,"1",40,0,"97","42","1",0,0,"2",1,"42","42",0,"96",2,2,38,12,11,12,12,1,"1","6","4","2","1",3,1,"0","0",4,0,2,0,2,0,2,"4","1",3,"1","2","1",1,"1",1,1,0,0,"1",3,1,23.3,32,24.1,25,12.6,1988,"342","2","1","19"
NA,NA,"1",50,0,"77","54","1",1,0,"7",0,"54","54",0,"61",8,2,37,12,8,10,12,1,"1","6","4","2","1",2,1,"0","2",4,1,1,0,2,0,1,"4","1",2,"1","2","1",1,"3",1,1,1,0,"2",3,1,20,50,46.5,38,25.7,1988,"343","2","4","26"
NA,NA,"4",NA,0,"62","59","1",0,0,"1",0,"59","59",1,"20",10,6,57,9,10,10,12,1,"1","2","4","2","1",1,1,"8","4",2,0,0,0,2,0,2,"4","2",7,"2","2","2",0,"1",1,1,1,1,"1",3,1,39.9,44,28.7,17,45.3,1988,"346","2","1","6"
43426,22919,"1",40,0,"57","13","1",0,0,"1",0,"13","13",0,"68",2,2,45,12,8,11,16,0,"1","3","4","2","1",2,1,"0","0",2,0,0,0,2,0,2,"4","1",2,"1","3","1",0,"2",1,1,1,0,"2",3,1,42.2,47,38.8,65,85.2,1988,"348","2","4","14"
15682,15682,"2",30,0,"51","91","1",0,0,"3",0,"91","91",0,"14",2,2,41,13,16,14,14,0,"1","5","2","1","1",3,1,"0","0",4,0,1,1,2,0,1,"2","2",7,"2","2","2",1,"1",1,1,0,0,"1",3,1,83.8,45,38.3,35,32,1988,"382","2","1","8"
43426,NA,"7",NA,0,"89","39","1",0,0,"1",0,"39","39",0,"62",2,2,38,13,16,12,16,0,"1","1","2","2","1",2,1,"0","0",4,0,2,0,2,0,1,"2","1",8,"1","3","4",1,"3",1,1,1,0,"2",3,1,28.7,35,26.8,50,63.3,1988,"387","2","2","30"
36189,3378,"3",NA,0,"50","62","1",1,0,"4",0,"62","62",0,"10",1,2,47,18,18,12,12,0,"1","3","1","2","1",3,1,"2","2",2,0,0,0,2,0,2,"1","2",2,"2","2","1",0,"2",1,0,0,0,"1",3,1,77.4,53,73.9,44,28.7,1988,"411","3","2","3"
43426,22919,"1",40,1,"61","32","1",0,0,"1",0,"32","32",0,"98",6,4,33,14,16,18,14,1,"1","3","1","1","1",3,1,"0","4",6,2,2,0,2,0,2,"1","2",5,"1","3","2",1,"1",0,NA,0,1,"2",3,1,39.1,36,30.8,64,84.2,1988,"412","3","4","26"
91587,15682,"3",NA,0,"23","23","1",0,0,"1",0,"23","23",0,"80",1,1,33,18,12,14,18,0,"1","3","1","2","1",3,1,"0","0",5,0,1,0,4,0,3,"1","2",7,"2","2","2",1,"2",1,1,1,0,"2",3,1,38.3,64,82.5,64,82.5,1988,"413","3","3","8"
91587,53077,"3",NA,0,"98","32","1",0,0,"3",0,"32","32",0,"81",3,2,45,18,12,12,15,1,"1","3","1","3","1",3,1,"0","3",4,0,0,0,4,0,3,"1","1",2,"1","3","1",0,"1",1,1,1,0,"2",3,1,32.1,73,70.1,64,84.2,1988,"417","3","4","1"
3378,3378,"1",40,0,"46","91","1",0,0,"8",0,"91","91",0,"78",8,2,38,12,11,12,10,0,"2","5","2","3","1",3,0,"0","0",4,0,0,2,2,0,1,"1","1",5,"1","2","1",1,"1",1,1,0,0,"2",3,1,19.7,48,20.1,35,31.6,1988,"427","2","4","97"
31364,NA,"7",NA,0,"57","91","1",0,0,"1",0,"91","91",0,"91",1,3,26,12,12,12,12,0,"1","3","1","1","1",4,1,"0","2",4,2,0,0,2,0,2,"1","2",0,"2","2","2",1,"2",1,1,0,0,"2",3,1,32,47,38.8,35,32,1988,"433","2","2","15"
91587,43426,"1",70,1,"20","36","1",0,0,"1",0,"36","36",0,"83",2,4,51,8,5,NA,12,1,"1","1","2","1","1",3,1,"0","0",3,0,0,1,2,0,2,"2","1",1,"1","1","1",1,"2",0,NA,0,0,"1",3,1,26.6,46,39.9,49,28.6,1988,"448","2","4","11"
31364,1930,"7",NA,0,"42","73","1",0,0,"1",0,"73","73",0,"91",10,2,44,12,8,8,12,0,"2","3","2","1","1",3,1,"0","0",4,0,2,0,2,0,2,"2","1",3,"1","1","4",1,"3",1,1,0,1,"1",3,1,31.6,25,12.6,35,33.9,1988,"459","3","2","1"
20507,NA,"5",NA,1,"62","41","1",0,0,"3",0,"41","41",1,"62",11,2,74,8,12,NA,10,1,"1","1","1","1","1",2,1,"1","4",2,0,0,0,2,0,1,"1","2",7,"2","2","2",1,"3",1,1,1,0,"1",3,0,46,49,46,31,19.6,1988,"469","2","4","3"
53077,31364,"1",40,0,"32","15","1",1,0,"1",0,"15","15",0,"91",2,3,61,12,8,8,7,0,"1","1","1","1","1",3,1,"0","1",2,0,0,0,2,0,2,"1","1",3,"1","1","1",0,"2",1,1,1,0,"1",3,1,32,64,84.2,50,57.4,1988,"474","2","4","8"
53077,43426,"1",35,1,"64","57","1",0,0,"1",0,"57","57",0,"14",4,0,24,13,16,16,14,1,"1","3","1","1","1",4,1,"0","2",2,0,0,0,2,0,2,"1","2",7,"2","2","1",1,"1",1,0,1,0,"2",3,1,68,35,24,47,38.8,1988,"476","3","4","11"
43426,20507,"1",40,0,"56","64","1",1,0,"1",0,"64","64",1,"20",12,1,58,12,NA,8,12,0,"1","2","1","2","2",3,1,"0","0",2,0,0,0,2,0,2,"1","1",4,"1","3","1",0,"1",1,1,0,0,"2",3,1,39.9,25,23.8,43,36.2,1988,"479","2","3","3"
36189,18094,"1",40,0,"57","91","1",0,0,"1",0,"91","91",0,"62",5,2,34,12,4,4,12,0,"2","6","3","1","1",1,1,"0","0",4,0,1,1,2,0,3,"3","1",6,"1","1","1",1,"2",1,1,1,0,"1",3,1,24.6,47,38.8,35,31.6,1988,"492","2","1",NA
43426,NA,"2",15,0,"94","80","1",0,0,"1",0,"80","80",0,"89",1,2,42,12,6,6,12,0,"1","6","3","1","1",3,0,"8","4",4,0,1,1,2,0,1,"3","2",4,"2","2","1",1,"2",1,1,0,0,"1",3,1,26.8,52,57,36,27.5,1988,"499","2","4","13"
18094,15682,"1",32,0,"81","82","1",0,0,"5",0,"82","82",0,"89",10,0,44,12,6,8,5,0,"1","4","3","3","3",2,1,"0","2",2,0,0,0,2,0,1,"3","2",7,"1","2","2",1,"2",1,1,0,0,"2",3,0,26.8,36,26.1,33,27.7,1988,"504","2","4","14"
91587,43426,"1",56,0,"77","80","1",0,0,"1",0,"80","80",1,"47",2,2,58,14,14,12,14,1,"1","3","0","3","1",3,0,"8","4",2,0,0,0,2,0,2,"3","1",7,"2","2","1",0,"1",1,1,1,0,"1",3,1,43,50,46.5,60,76.3,1988,"512","2","1","11"
43426,5308,"1",38,0,"80","63","1",0,0,"1",0,"63","63",0,"79",3,6,42,13,10,12,12,0,"1","5","3","2","1",3,1,"0","2",8,0,1,3,4,0,5,"3","2",7,"2","2","2",0,"1",1,1,0,0,"1",3,1,28.3,60,76.3,49,45.4,1988,"515","3","2","11"
8685,NA,"7",NA,0,"91","72","1",0,0,"2",1,"72","72",0,"23",6,2,74,12,13,8,8,0,"1","2","3","1","1",4,1,"0","0",2,0,0,0,2,0,2,"3","1",7,"1","3","1",0,"2",0,NA,0,0,"1",3,0,80.9,35,31.6,34,27.4,1988,"531","3","4","14"
36189,20507,"1",45,0,"43","42","1",1,0,"1",0,"42","42",0,"98",1,0,32,12,12,14,12,1,"1","2","4","3","1",3,1,"0","0",3,0,1,0,2,0,2,"4","1",4,"1","1","1",1,"2",1,1,0,1,"1",3,NA,63.1,42,39.6,25,12.6,1988,"544","2","4","14"
53077,10857,"7",NA,0,"47","73","1",0,0,"1",0,"73","73",0,"81",3,1,26,12,8,12,15,0,"1","3","4","1","1",3,1,"0","0",3,1,0,0,2,0,2,"4","1",5,"1","1","1",0,"2",1,1,0,0,"1",3,1,48.3,38,43,33,46.6,1988,"546","3","3","97"
20507,10857,"1",40,0,"56","50","1",1,0,"1",0,"50","50",0,"62",7,4,31,12,8,12,12,1,"1","3","4","3","1",3,1,"0",NA,4,1,1,0,2,0,2,"4","4",1,"2","2","1",1,"2",1,1,0,1,"1",4,1,25.2,25,23.8,46,52,1988,"553","2","4","23"
26538,1930,"2",10,0,"41","86","1",0,0,"2",0,"86","86",0,"14",1,4,67,13,12,12,12,0,"1","4","4","1","1",2,1,"0","3",2,0,0,0,2,0,2,"4","1",7,"1","3","1",1,"1",0,NA,1,0,"2",3,1,83.8,33,22.4,43,66.2,1988,"557","3","4","8"
31364,22919,"5",NA,0,"98","46","1",1,0,"2",1,"46","46",0,"62",3,3,42,15,11,11,12,1,"1","3","4","2","1",2,1,"0","3",4,2,0,0,2,0,2,"4","1",4,"1","2","1",0,"1",0,NA,0,0,"2",3,1,46,63,63.1,35,21.8,1988,"558","3","4","19"
53077,43426,"3",NA,0,"91","54","1",0,0,"1",0,"54","54",0,"60",2,2,53,12,NA,NA,13,1,"1","2","3","2","1",3,1,"0","0",3,0,0,0,3,0,3,"3","1",2,"1","2","1",1,"3",1,1,0,0,"1",3,1,14,35,32,38,25.7,1988,"567","3","1","8"
53077,22919,"3",NA,0,"96","58","1",1,0,"3",0,"58","58",0,"86",8,2,37,12,14,NA,12,1,"1","3","5","3","1",3,1,"0","0",5,0,0,1,4,0,3,"3","4",0,"1","1","4",1,"2",1,1,0,1,"2",3,1,50,35,20.9,32,35.8,1988,"568","3","4","11"
31364,20507,"1",54,0,"57","91","1",0,0,"1",0,"91","91",0,"53",7,3,39,12,8,12,10,0,"1","4","3","1","1",3,1,"0",NA,5,0,2,1,2,0,3,"3","2",6,"2","2","4",1,"2",1,0,0,0,"1",3,1,59.9,47,38.8,35,32,1988,"571","3","4","11"
10857,10857,"1",40,0,"78","77","1",0,0,"7",0,"77","77",0,"92",4,2,29,12,12,12,12,1,"1","3","3","2","1",3,1,"0","0",4,1,1,0,2,0,1,"3","1",2,"1","2","1",0,"1",1,1,1,1,"2",3,1,50,28,18.8,35,25,1988,"586","2","2","18"
53077,15682,"1",40,0,"32","15","1",0,0,"1",0,"15","15",0,"90",3,2,34,16,12,16,16,0,"1","4","3","2","1",3,1,"0","0",4,0,1,1,2,0,2,"3","2",7,"2","2","2",0,"2",1,1,0,1,"1",3,1,46.6,64,84.2,70,86.1,1988,"595","3","4","10"
NA,NA,"1",40,0,"22","51","1",1,0,"1",0,"51","51",1,"83",1,3,65,12,10,14,12,1,"1","3","3","2","1",3,1,"0","0",2,0,0,0,2,0,2,"3","1",3,"1","2","1",0,"2",1,0,0,1,"1",3,1,26.6,74,84.5,45,38.3,1988,"602","3","1","24"
18094,483,"7",NA,0,"42","91","1",1,0,"1",0,"91","91",0,"96",3,0,30,12,6,9,11,0,"1","1","3","2","1",2,1,"0","4",2,0,0,0,2,0,2,"3","2",1,"2","2","4",1,"1",1,0,0,0,"1",3,1,14.8,25,12.6,35,32,1988,"621","2","2","15"
31364,31364,"1",50,0,"81","46","1",0,0,"2",0,"46","46",0,"81",9,2,40,12,3,0,12,1,"1","4","3","1","1",3,1,NA,"4",4,0,2,0,2,0,1,"3","2",7,"2","2","2",0,"2",1,1,0,0,"1",3,0,26.1,36,26.1,35,21.8,1988,"632","2","1","17"
91587,43426,"1",66,0,"56","77","1",1,0,"1",0,"77","77",0,"91",4,5,40,12,12,12,12,1,"1","3","3","1","1",3,1,"0","2",4,1,1,0,2,0,2,"3","1",2,"1","2","1",1,"2",1,1,0,0,"1",3,1,32,25,23.8,35,25,1988,"637","3","3","11"
43426,NA,"7",NA,0,"83","96","1",0,0,"1",0,"96","96",0,"86",4,3,42,12,7,9,9,0,"1","4","3","1","1",3,1,"0","2",4,0,0,1,3,0,1,"3","2",5,"2","2","1",1,"4",1,1,NA,0,"1",3,1,27.7,31,12.4,35,20.9,1988,"642","2","2","6"
53077,26538,"1",46,0,"50","64","1",0,0,"2",0,"64","64",0,"48",2,2,33,15,14,13,11,0,"1","4","3","1","1",3,1,"0",NA,4,0,2,0,2,0,2,"3","2",6,"2","2","4",1,"2",1,1,1,0,"2",3,1,62,46,52,43,36.2,1988,"652","3","2","11"
91587,53077,"1",70,0,"10","32","1",0,0,"1",0,"32","32",0,"50",3,2,48,18,12,12,12,1,"1","3","3","2","3",3,1,"0","3",3,0,0,0,3,0,3,"3","1",2,"2","2","1",1,"2",1,1,1,0,"1",3,1,73.9,63,81,64,84.2,1988,"674","3","4","11"
43426,22919,"1",50,0,"23","22","1",0,NA,"1",1,"22","22",1,"20",2,2,45,16,5,14,16,0,"1","2","5","2","1",3,1,"0","0",4,0,0,2,2,0,2,"5","1",7,"1","1","1",0,"1",0,NA,1,0,"1",2,1,39.9,61,80.9,53,59.1,1988,"695","3","4","14"
36189,15682,"1",40,0,"73","80","1",0,0,"1",0,"80","80",0,"71",2,0,22,12,13,12,12,1,"1","6","5",NA,"1",2,1,"0","0",4,1,1,0,2,0,2,"5","1",0,"1","3","1",0,"2",1,0,0,1,"1",3,4,53.6,38,42.8,60,76.3,1988,"718","3","4","19"
91587,36189,"3",NA,0,"22","23","1",0,0,"3",0,"23","23",1,"62",1,4,60,20,10,11,18,1,"1","5","5","1","1",2,1,"0","0",3,0,0,0,3,0,3,"5","1",8,"1","1","1",1,"1",1,1,0,0,"1",3,1,28.7,74,84.5,61,80.9,1988,"722","3","4","14"
91587,83666,"1",65,0,"48","45","1",1,0,"1",0,"45","45",0,"42",2,0,38,17,14,12,14,1,"1","2","5","1","1",3,1,"0","0",3,NA,NA,0,2,0,2,"5","1",8,"1","1","1",1,"2",1,0,1,1,"1",3,1,67.8,45,62,36,24.6,1988,"723","3","4","8"
43426,26538,"3",NA,0,"38","24","1",1,0,"3",0,"24","24",0,"89",9,2,55,16,2,10,18,1,"2","3","5","2","1",3,1,"0","0",2,0,0,0,2,0,2,"5","1",3,"1","1","2",1,"2",1,1,1,0,"1",3,1,20.8,40,45.1,55,77.2,1988,"725","2","4","1"
43426,1930,"1",40,0,"83","62","1",0,0,"1",1,"62","62",1,"91",7,2,59,12,3,1,6,0,"1","3","0","3","1",3,0,"8","4",3,0,0,0,3,0,3,"5","2",2,"2","2","1",0,"3",0,NA,1,1,"1",3,1,32,32,13.2,44,28.7,1988,"739","2","1","25"
18094,483,"2",38,0,"16","41","1",0,0,"2",0,"41","41",1,"17",4,1,25,17,12,16,15,0,"1","4","5","1","1",4,1,"8","2",3,1,0,0,2,0,2,"5","4",0,"1","3","4",0,"1",1,1,1,0,"2",3,1,86.6,73,85.8,31,19.6,1988,"746","2","4","25"
26538,18094,"1",51,0,"56","47","1",0,0,"1",0,"47","47",0,"76",7,5,60,4,3,9,12,1,"1","3","1","3","1",3,1,"0","0",3,0,0,1,2,0,2,"5","1",0,"1","3","1",0,"3",1,1,0,0,"1",3,1,35.4,25,23.8,31,39.7,1988,"761","2","4","8"
43426,20507,"1",40,0,"50","91","1",0,0,"1",0,"91","91",0,"92",13,3,44,15,14,12,13,0,"2","6","5","1","1",3,1,"0",NA,3,0,0,1,2,0,3,"5","1",7,"1","1","1",1,"2",1,1,1,0,"1",3,1,60.4,25,26.8,35,32,1988,"762","2","1","30"
53077,36189,"1",40,0,"51","57","1",0,1,"1",0,"57","57",1,"64",3,1,60,16,5,8,12,1,"1","1","6","3","1",2,1,"0","0",2,0,0,0,2,0,2,"5","1",2,"1","3","1",1,"1",1,1,1,0,"1",3,1,24,40,41.8,47,38.8,1988,"764","3","1","8"
91587,43426,"1",70,0,"50","24","1",0,0,"1",0,"24","24",0,"13",1,2,50,16,3,12,16,1,"1","1","5","3","1",3,1,"0","0",3,0,0,0,3,0,3,"5","1",2,"1","1","1",1,"2",1,1,1,0,"1",3,1,68.6,53,73.9,55,77.2,1988,"766","3","4",NA
10857,10857,"2",20,0,"96","50","1",0,1,"7",0,"50","50",0,"68",1,0,78,13,8,11,12,1,"1","2","3","3","1",3,1,"0","2",2,0,0,0,2,0,0,"5","1",7,"1","3","1",0,"2",1,1,0,0,"2",3,1,42.2,25,23.3,25,26.8,1988,"773","3","4","8"
NA,1930,"1",60,1,"51","47","1",1,0,"1",1,"47","47",1,"20",8,3,45,9,7,7,16,0,"1","1","5","3","1",4,1,"0","0",3,0,1,0,2,0,3,"5","1",3,"1","1","2",0,"3",0,NA,1,0,"1",3,1,39.9,45,38.3,48,57.5,1988,"778","2","4",NA
91587,26538,"1",40,0,"52","62","1",1,0,"1",0,"62","62",0,"70",1,1,45,12,12,12,12,0,"1","3","7","2","1",3,1,"0","0",3,0,0,0,3,0,3,"7","1",4,"1","3","1",0,"1",1,1,0,0,"1",3,1,52.4,29,39.5,49,46,1988,"798","3","4",NA
20507,7238,"1",40,0,"25","88","1",1,0,"1",0,"88","88",0,"62",3,2,38,13,0,5,8,0,"1","3","7","1","8",1,1,"0",NA,4,1,1,0,2,0,2,"7","2",4,"2","2","2",0,"2",1,1,0,0,"2",3,1,24.6,48,26.1,32,26.2,1988,"809","2","4","15"
36189,20507,"1",50,0,"47","58","1",1,0,"1",0,"58","58",0,"98",1,2,33,14,16,13,13,1,"1","2","7","2","1",3,0,"0","0",5,0,3,0,2,0,2,"7","1",5,"1","3","1",0,"2",1,1,0,0,"1",3,1,70.1,31,39.7,47,47.9,1988,"815","3","4","11"
8685,5308,"1",40,0,"77","83","1",1,0,"1",0,"83","83",0,"60",7,4,44,7,2,0,12,1,"1","2","7","2","1",3,1,"2","2",3,0,0,1,2,0,2,"7","2",5,"2","2","2",1,"1",1,0,0,1,"2",1,1,14,35,25,32,13.2,1988,"831","2","4","17"
36189,22919,"1",55,0,"63","45","1",0,1,"1",1,"45","45",1,"91",4,3,36,10,NA,NA,10,1,"1","2","7","2","1",4,1,"0","0",4,0,2,0,2,0,3,"7","1",4,"1","1","1",0,"2",1,1,0,0,"1",3,1,32,49,45.4,36,24.6,1988,"839","2","4",NA
43426,31364,"1",40,0,"59","47","1",0,0,"2",0,"47","47",0,"73",1,3,53,12,6,12,14,1,"1","3","6","1","1",3,1,"0","0",3,0,0,0,3,0,3,"6","1",8,"1","1","1",1,"2",1,1,0,0,"1",3,1,42.8,17,45.3,31,39.7,1988,"842","2","4","8"
15682,6273,"1",45,1,"20","51","1",1,0,"1",0,"51","51",1,"20",0,0,28,14,12,12,12,1,"1","2","6","1","1",2,1,"0","0",2,0,0,0,2,0,2,"6","1",6,"1","2","1",1,"1",0,NA,0,0,"1",3,1,39.9,46,39.9,39,20.8,1988,"851","2","4","11"
36189,10857,"1",50,1,"87","87","1",0,0,"1",1,"87","87",1,"86",9,2,64,12,3,3,14,1,"1","2","6","1","1",3,1,"0","0",2,0,0,0,2,0,2,"6","1",7,"1","1","1",0,"1",0,NA,1,0,"1",3,1,27.7,49,37.2,49,37.2,1988,"854","2","4","8"
43426,22919,"2",24,0,"30","93","1",0,0,"4",0,"93","93",0,"89",4,1,26,19,12,12,16,0,"1","3","5","1","1",2,1,"8","4",3,1,0,0,2,0,2,"5","2",6,"2","2","1",NA,"1",1,1,1,0,"1",3,1,26.8,66,92,43,40.1,1988,"876","3","2","29"
18094,7238,"1",40,1,"47","47","1",0,0,"1",0,"47","47",0,"91",1,3,32,10,10,11,11,0,"1","4","7","1","1",3,1,"0","0",4,0,1,1,2,0,2,"7","1",2,"1","1","1",0,"2",0,NA,1,0,"2",3,1,32,38,43,31,39.7,1988,"889","2","4",NA
31364,31364,"1",40,0,"56","82","1",0,0,"7",0,"82","82",0,"14",0,2,42,14,16,11,14,1,"1","3","2","3","3",2,1,"0","1",4,0,2,0,2,0,1,"7","1",2,"1","3","1",1,"2",1,1,0,1,"2",3,1,86.5,35,23.7,35,34.6,1988,"892","2","1","30"
31364,3378,"7",NA,0,"58","50","1",0,0,"1",0,"50","50",0,"62",4,5,61,9,5,12,9,0,"1","1","6","1","1",3,1,"0","0",2,0,0,0,2,0,2,"6","1",3,"1","1","1",1,"3",1,1,1,0,"1",3,1,25.2,32,35.8,46,52,1988,"904","2","2","11"
43426,31364,"1",40,0,"70","57","1",0,0,"1",0,"57","57",0,"92",0,5,58,12,5,8,12,1,"2","4","6","1","3",3,1,"0","0",2,0,0,0,2,0,2,"6","1",7,"1","1","1",1,"3",1,1,0,0,"2",3,1,60.4,43,52.4,47,38.8,1988,"905","2","4","1"
26538,13269,"1",40,0,"73","50","1",0,0,"1",0,"50","50",1,"20",7,2,39,14,NA,NA,12,1,"1","3","6","2","3",2,1,"0",NA,4,0,1,1,2,0,3,"6","1",7,"1","1","1",1,"2",1,1,1,1,"1",3,1,39.9,45,38.8,46,52,1988,"918","2","4","8"
91587,NA,"7",NA,1,"23","30","1",0,0,"3",1,"30","30",0,"20",2,3,40,16,20,16,20,0,"1","4","5","1","1",4,1,"0","0",5,1,1,1,2,0,2,"5","1",5,"1","2","1",1,"1",0,NA,1,0,"2",3,1,62.6,38,59.1,80,92.8,1988,"919","4","4","8"
13269,NA,"7",NA,0,"40","72","1",0,0,"1",0,"72","72",0,"82",6,2,33,13,12,12,12,0,"1","4","9","1","1",3,1,"0","2",4,1,1,0,2,0,1,"9","1",4,"1","2","1",1,"2",1,1,1,0,"1",3,1,34.6,33,13.6,45,31.2,1988,"950","2","4","17"
10857,10857,"1",40,0,"42","54","1",0,0,"7",0,"54","54",0,"96",1,3,55,14,NA,NA,12,1,"2","6","7","3","8",1,1,"0","0",5,1,2,0,2,0,1,"9","4",2,"1","1","1",1,"2",1,1,1,1,"2",3,1,23.3,24,20.7,38,25.7,1988,"961","1","1","1"
22919,NA,"5",NA,0,"70","47","1",1,0,"2",0,"47","47",0,"71",1,2,52,12,8,12,12,1,"1","3","9","1","1",3,1,"0","4",2,0,0,0,2,0,1,"9","2",1,"2","2","5",0,"2",1,1,0,1,"1",3,1,53.6,38,52.1,31,39.7,1988,"964","2","3","2"
91587,36189,"1",40,0,"77","70","1",0,0,"1",0,"70","70",0,"98",1,5,37,11,8,6,12,0,"1",NA,"9","2","1",2,1,"0","4",8,0,3,3,2,1,3,"9","1",0,"2","2","1",1,"4",1,1,0,0,"1",3,1,63.1,27,23.3,49,51.8,1988,"967","2","3","11"
43426,43426,"1",42,0,"70","54","1",0,0,"2",0,"54","54",0,"70",4,4,50,12,9,12,13,1,"1","6","8","1","1",3,1,"0","0",4,0,0,1,3,0,4,"8","2",7,"2","2","2",1,"2",1,1,0,0,"1",3,1,52.4,38,52.1,38,25.7,1988,"982","2","4","14"
31364,10857,"2",31,0,"91","58","1",0,0,"7",0,"58","58",0,"39",2,2,76,17,5,8,10,1,"1","4","3","3","1",3,1,"0","0",2,0,0,0,2,0,2,"8","5",3,"1","3","1",0,"1",1,0,1,0,"1",3,0,34.7,35,32,32,35.8,1988,"993","3","4","8"
31364,7238,"1",40,0,"57","62","1",0,0,"1",0,"62","62",0,"47",3,0,27,12,14,14,12,0,"1","1","8","3","1",3,1,"0",NA,2,0,0,0,2,0,2,"9","2",3,"2","2","2",0,"1",1,0,1,1,"1",3,1,43,47,38.8,49,46,1988,"1022","3","4","19"
13269,NA,"2",20,0,"45","97","1",0,0,"1",0,"97","97",0,"42",8,2,28,11,0,NA,12,0,"3","1","9","1","4",2,0,"8","4",4,1,1,0,2,0,2,"9","2",4,"2","2","2",0,"2",0,NA,0,0,"2",3,1,18.6,36,24.6,34,31.3,1988,"1027","3","4","17"
91587,1930,"1",40,0,"49","49","1",0,0,"1",0,"49","49",1,"20",5,2,54,14,8,12,13,1,"1","2","4","3","1",3,1,"0","1",3,0,0,0,3,0,3,"9","1",1,"1","3","1",NA,"2",0,NA,0,0,"2",3,1,39.9,49,56.9,49,56.9,1988,"1032","2","4","11"
53077,22919,"1",40,0,"48","88","1",1,0,"1",0,"88","88",0,"81",4,2,41,12,8,12,12,0,"1","3","9","1","1",3,1,"0","4",4,1,0,0,3,0,2,"9","2",1,"2","2","2",0,"2",1,1,1,0,"2",3,1,32.1,45,62,32,26.2,1988,"1036","2","2","15"
91587,83666,"1",40,1,"14","57","1",0,0,"1",0,"57","57",1,"20",4,3,56,16,4,8,17,1,"3","2","9","1","1",3,1,"8","4",3,0,0,1,2,0,2,"9","5",4,"5",NA,"5",0,"1",0,NA,1,0,"2",3,1,39.9,73,86.5,47,38.8,1988,"1053","3","4","16"
36189,15682,"1",27,0,"55","55","1",0,0,"1",0,"55","55",1,"22",3,2,34,14,12,14,12,0,"1","1","9","1","1",3,1,"0","0",4,0,2,0,2,0,2,"9","1",3,"1","3","1",0,"2",1,1,1,0,"1",3,1,59.1,45,58.4,45,58.4,1988,"1054","3","2","7"
15682,8685,"1",50,0,"91","47","1",1,0,"1",0,"47","47",0,"20",15,5,45,15,19,16,14,1,"1","3","2","3","0",4,1,"8","4",3,0,0,1,2,0,3,"9","1",6,"2","2","1",NA,"3",1,1,0,1,"1",3,1,62.6,35,32,28,21.6,1988,"1057","2","4","14"
26538,NA,"7",NA,0,"50","72","1",1,0,"1",0,"72","72",0,"16",6,3,52,12,6,6,12,0,"1","3","9","3","3",3,1,"0",NA,2,0,0,0,2,0,1,"9","1",6,"1","3","1",0,"3",1,0,0,1,"1",3,1,52.5,31,31.9,45,39.2,1988,"1060","2","2","11"
