"PARTYID","POLVIEWS","NATROAD","NATSOC","NATMASS","NATPARK","EQWLTH","TAX","SPKATH","COLATH","LIBATH","SPKRAC","COLRAC","LIBRAC","SPKCOM","COLCOM","LIBCOM","SPKMIL","COLMIL","LIBMIL","SPKHOMO","COLHOMO","LIBHOMO","CAPPUN","GUNLAW","COURTS","HELPFUL","FAIR","TRUST","CONFINAN","CONBUS","CONCLERG","CONEDUC","CONFED","CONLABOR","CONPRESS","CONMEDIC","CONTV","CONJUDGE","CONSCI","CONLEGIS","CONARMY","OBEY","POPULAR","THNKSELF","WORKHARD","HELPOTH","GETAHEAD","ABDEFECT","ABNOMORE","ABHLTH","ABPOOR","ABRAPE","ABANY","XMARSEX","HOMOSEX","POLHITOK","POLABUSE","POLMURDR","POLESCAP","POLATTAK","HELPPOOR","HELPNOT","HELPSICK","HELPBLK","YEAR","ID_","CLASS_"
"2",4,"2","3","2","3",3,"2",1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,"2","2","1","2","1","1","1","1","2","1","1","1","2","1","1","2","2",4,5,3,1,2,"1",1,0,1,0,1,0,"1","1",1,0,0,1,1,2,2,2,4,1993,"457","3"
"0",3,"1","2","2","2",1,"2",1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,"2","1","2","2","1","2","2","2","1","1","1","1","1","1","1","1","1",2,1,5,3,4,"1",1,0,1,0,1,0,"1","3",0,0,0,0,0,5,3,3,3,1993,"467","2"
"0",4,"1","3","1","2",6,"2",1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,"2","1","3","1","3","3","3","3","2","3","2","1","2","2","2","3","3",4,5,1,2,3,"2",1,1,1,1,1,1,"4","4",1,0,0,1,1,2,3,2,4,1993,"490","4"
"1",4,"1","2","1","1",5,"2",1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,"2","1","2","1","2","1","1","1","2","3","2","1","3","1","1","2","1",3,5,1,2,4,"2",1,1,1,1,1,1,"1","4",1,0,0,0,1,3,5,1,1,1993,"492","3"
"1",2,"1","2","2","1",3,"2",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,"2","1","2","1","3","1","2","3","1","3","3","1","1","1","1","3","1",4,5,1,2,3,"1",1,1,1,1,1,1,"1","1",1,0,0,1,1,3,3,1,5,1993,"507","2"
"0",3,"1","2","1","2",2,"2",1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,"2","1","2","1","2","2","2","2","3","3","3","2","3","2","2","3","2",4,5,1,2,3,"1",1,1,1,1,1,1,"1","4",1,0,0,1,1,3,3,2,5,1993,"514","3"
"2",3,"3","2","1","2",4,"2",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","2","2","2","1","1","3","1","2","3","1","1","1","1","1","2","1",2,3,1,4,5,"1",1,0,1,0,1,1,"1","4",1,0,0,1,1,4,4,4,3,1993,"530","3"
"1",5,"2","1","2","3",5,"2",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","1","2","1","3","2","2","1","2","3","3","2","3","1","2","3","3",4,5,1,3,2,"1",1,1,1,1,1,1,"2","3",1,0,0,1,1,3,3,2,2,1993,"531","2"
"2",2,"2","1","3","1",5,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,"2","1","2","2","3","3","3","3","3","2","2","1","3","3","2","2","2",2,5,4,3,1,"1",1,0,1,0,1,0,"1","1",0,0,0,0,0,1,5,1,3,1993,"544","2"
"5",3,"2","3","1","2",5,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","3","3","3","2","2","2","3","2","3","3","2","2","1","1","3","3",4,5,1,3,2,"1",1,0,1,0,1,0,"1","4",1,0,0,NA,1,3,3,2,2,1993,"546","3"
"5",6,"2","2","2","2",7,"1",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,"2","1","2","3","2","2","2","2","2","3","2","2","2","2","2","3","2",3,5,1,4,2,"1",1,0,1,0,1,0,"1","1",1,0,0,1,1,3,5,4,3,1993,"566","3"
"5",5,"1",NA,"1","1",5,"2",0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,"2","1","2","1","3","1","1","3","3","2","1","2","2","1","2","3","1",5,2,1,4,3,"1",1,NA,1,0,1,1,"1","1",0,0,0,1,1,5,5,2,5,1993,"570","3"
"5",4,"1","1","1","1",6,"1",1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,"2","2","1","2","2","2","3","2","3","2","3","2","2","2","2","3","2",2,5,4,1,3,"1",1,1,1,1,1,1,"1","1",1,0,1,1,1,4,3,1,1,1993,"593","2"
"6",4,"1","1","2","1",7,"1",1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,NA,1,"2","1","2","2","2","2","2","2","3","2","3","1","3","2","2","3","1",3,5,4,2,1,"2",1,1,1,1,1,1,"1","1",1,0,0,1,1,NA,2,4,4,1993,"600","2"
"5",5,"2","2",NA,NA,5,"2",1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,"2","1","2","1","2","2","2","2","2","3","3","1","3","2","2","2","1",3,5,2,4,1,"1",0,0,1,0,0,0,"1","1",1,0,0,1,1,3,5,3,3,1993,"607","2"
"4",5,"1","2","2","2",4,"2",1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,"1","1","1","1","2","3","2","3","2","1","3","1","3","1","1","3","1",4,5,1,3,2,"1",1,1,1,1,1,1,"1","1",1,0,0,1,1,3,3,2,5,1993,"614","3"
"5",4,"2","2","2","1",3,"1",0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,"2","2","2","2","2","2","1","2","2","2","2","2","1","1","1","2","1",4,5,1,2,3,"1",1,0,1,0,1,0,"1","1",1,0,0,1,1,3,1,4,5,1993,"623","3"
"1",4,"3","2","1","1",7,"1",1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,"3","2","1","2","1","1","2","2","3","3","3","1","1","2","2","3","1",4,5,1,3,2,"3",1,1,1,1,1,1,"1","1",0,0,0,1,1,2,4,1,5,1993,"625","2"
"0",2,"2","2","1","2",3,"2",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,NA,1,"1","1","2","1","2","2","3","2","2","3","2","2","2","1","1","2","2",4,5,3,1,2,"1",1,1,1,1,1,1,"1",NA,1,0,0,1,1,3,2,2,4,1993,"650","3"
"0",3,"2","2","2","2",1,"2",1,0,0,1,0,0,1,1,0,0,0,0,1,NA,0,1,1,"2","2","2","1","2","2","2","2","2","2","3","2","3","3","3","3","1",4,5,1,2,3,"1",0,0,NA,0,0,0,"1","1",1,0,0,1,1,5,3,2,5,1993,"653","2"
"4",4,"2","1","1","2",3,"2",1,1,0,0,0,1,1,NA,0,0,0,0,1,1,1,1,1,"2","3","2","2","2","2","1","2","2","2","3","1","2","1","1","2","1",4,5,2,3,1,"1",1,0,1,0,1,0,"1","1",1,0,0,1,1,2,3,1,3,1993,"661","3"
"2",5,"2","1","2","2",4,"1",1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,"2","1","2","2","2","1","1","1","2","2","1","2","2","1","2","2","1",2,5,1,3,4,"1",1,0,1,0,1,0,"1","1",0,0,0,1,1,3,3,3,4,1993,"664","2"
"6",7,"1","2","3","2",7,"1",1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,"2","1","2","2","2","3","3","3","3","3","2","1","2","3","1","3","2",3,4,1,5,2,"2",1,0,1,0,1,0,"1","1",1,0,0,1,1,5,5,5,5,1993,"665","2"
"6",6,"1","2","1","1",3,"1",0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,"2","1","1","2","1","1","2","2","2","2","3","2","3",NA,"2","3","1",1,5,2,3,4,"1",1,0,1,0,1,0,"1","1",0,0,0,1,1,4,4,3,4,1993,"676","2"
"1",4,"1","2","2","2",3,"1",0,1,1,0,1,1,0,0,NA,0,1,1,0,1,1,1,0,"2","2","1","2","1","2","2","2","3","2","3","1","3","2","1","2","1",2,5,3,1,4,"1",0,0,1,0,1,0,"1","1",1,1,0,1,1,3,2,2,4,1993,"677","2"
"6",7,"3","2","2","3",5,"1",0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,"2","1","2","1","2","2","2","3","2","3","3","1","3","2","2","3","1",4,5,1,3,2,"1",1,0,1,0,0,0,"1","1",1,0,0,1,1,4,5,4,5,1993,"678","2"
"0",7,"1","2","2","2",7,"1",0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,"2","2","1","2","1","1","1","2","1","2","3","1","1","2","2","2","1",4,5,2,3,1,"1",1,1,1,1,1,1,"1","1",1,1,0,1,1,5,5,3,5,1993,"693","3"
"1",5,"3","1","2","2",5,"1",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,"2","3","1","2","3","2","3","3","3","3","3","2","2","2","3","3","2",1,4,3,2,5,"1",0,1,0,0,0,0,"3","4",0,0,0,0,0,4,4,1,5,1993,"707","1"
"0",5,"2","1","2","2",1,"1",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,"2","2","1","2","3","2","2","2","3","3","3","2","3","2","2","3","3",2,5,1,3,4,"2",1,1,1,1,1,1,"3","3",1,0,0,1,1,3,3,3,5,1993,"711","2"
"1",3,"2","1","2","1",2,"1",1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,"2","1","2","1","2","2","2","2","2","2","2","1","2","1","1","2","2",4,5,1,3,2,"1",1,1,1,1,1,1,"1","3",1,0,NA,1,1,3,3,1,2,1993,"717","3"
"5",7,"2","1","2","2",7,"2",1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"1","1","2","1","2","2","2","2","2","2","2","2","3","2","2","2","2",4,5,1,3,2,"1",0,0,0,0,0,0,"1","1",1,0,0,1,1,3,3,4,5,1993,"748","2"
"2",2,"1","2","1","1",7,"1",1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,"2","1","2","1","1","2","2","1","2","2","1","2","2","1","1","2","2",4,5,1,2,3,"1",1,1,1,1,1,1,"1","1",1,0,0,1,1,2,1,1,3,1993,"767","2"
"1",4,"2","1","1","2",3,"1",0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,"2","1","2","2","1","2","2","2","2","2","1","1","1","2","1","3","1",2,4,3,1,5,"1",1,1,1,0,NA,0,"1","1",1,0,0,0,0,3,4,3,3,1993,"773","3"
"6",5,"2","2","2","1",7,"1",1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,"2","2","2","2","2","1","2","2","2","3","3","1","2","1","1","2","1",5,4,1,2,3,"1",1,0,1,0,1,0,"2","4",1,0,0,1,1,5,5,2,4,1993,"786","3"
"2",4,"2","1","2","2",5,"2",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,"2","2","1","2","2","1","2","2","2","2","3","2","3","2","2","2","2",4,5,1,2,3,"1",1,NA,1,0,1,0,"1","1",1,0,0,1,1,3,3,3,3,1993,"787","3"
"6",6,"2","2","1","3",3,"1",1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,"2","1","2","1","2","2","1","1","2","2","3","2","3","2","2","2","1",2,5,3,4,1,"1",0,0,1,0,1,0,"1","1",1,0,0,1,1,4,2,2,2,1993,"789","3"
"3",4,"1","1","1","2",4,"2",1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,"2","2","2","1","2","1","1","1","1","2","3","1","3","1","1","2","1",3,5,2,4,1,"1",0,0,1,0,1,0,"1","1",1,0,0,1,1,3,3,3,NA,1993,"792","2"
"0",6,"2","1","2","2",2,NA,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,"2","2","2","2","2","1","2","2","2",NA,"3","1","2","1","2","3","1",1,5,4,3,2,"1",0,1,0,0,0,1,"1","1",1,0,0,1,1,2,2,4,4,1993,"800","2"
"1",5,"1","3","1","1",2,"1",1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,"2","2","1","2","2","3","2","2","2","2","3","2","3","2","2","2","2",1,4,2,3,5,"1",0,0,0,0,0,0,"1","2",1,0,0,0,1,3,3,3,4,1993,"809","2"
"0",6,"1","2","1","1",5,"1",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"2","3","1","2","1","3","2","3","3","2","2","1","2","1","2","1","2",3,5,1,4,2,"1",0,0,1,0,1,0,"4","1",0,0,0,0,1,3,3,3,2,1993,"830","3"
"0",2,"2","2","2","2",1,"2",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,"1","1","2","1","2","2","2","1","2","3","2","2","2","1","1","1","2",4,5,1,2,3,"1",1,1,1,1,1,1,"2","4",1,0,0,1,1,3,1,1,3,1993,"832","4"
"1",2,"3","2","1","2",4,"2",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,NA,"1","2","1","3","2","1","2","2","2","2","1","3","1","1","2","2",5,4,1,3,2,"1",1,1,1,1,1,1,"2","4",1,0,0,0,1,2,2,2,2,1993,"859","3"
"6",4,"2","1","2","2",2,"1",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,"2","1","1","2","2","2","2","2","2","2","3","2","3","2","2","3","2",3,5,1,2,4,"1",0,0,1,0,0,0,"1","1",0,0,0,1,1,4,5,4,3,1993,"869","2"
"6",7,"2","1","1","1",7,"1",0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,"2","2","1","2","2","1","2","2","3","3","3","2","3","3","3","3","1",4,5,1,2,3,"1",0,0,1,0,0,0,"1","1",1,0,0,1,1,5,5,5,5,1993,"886","3"
"2",6,"1","1","1","1",6,"1",1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,"2","2","2","2","2","2","1","3","3","2","2","2","2","3","2","3","1",2,5,1,3,4,"1",1,1,1,0,0,0,"1","1",1,0,0,1,1,2,2,1,2,1993,"896","1"
"1",4,"2","1","1","1",1,"2",1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,NA,1,"2","3","2","3","2","2","2","2","1","3","3","2","2","2","1","2","2",4,5,3,2,1,"1",1,1,1,1,1,1,"1","4",0,0,0,0,0,3,3,1,5,1993,"900","3"
"3",4,"2","1","2","2",3,"1",1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,"2","2","1","2","3","2","3","2","2","2","2","2","2","3","3","3","2",5,4,2,1,3,"1",1,1,1,1,1,0,"1","1",NA,0,0,1,1,3,3,5,1,1993,"914","2"
"5",6,"2","1","2","2",2,"1",0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,"2","1","2","2","2","2","3","2","3","2","2","1","3","3","2","3","1",3,5,4,1,2,"1",0,0,NA,0,0,0,"1","1",1,0,0,0,1,2,2,3,3,1993,"915","1"
"1",4,"1","2","1","2",4,"1",1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,"2","2","2","1","2","2","2","2","2","2","2","2","3","1","1","2","2",4,5,1,3,2,"1",1,1,1,1,1,1,"1","4",1,0,0,1,1,3,3,3,3,1993,"952","3"
"5",5,"1","2","1","3",5,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,"2","1","2","1","2","2","1","3","2","3","3","2","3","2","2","3","2",4,5,3,2,1,"2",0,0,0,0,0,0,"1","1",1,0,0,1,1,4,5,4,4,1993,"962","3"
"3",4,"1","1","2","2",4,"2",1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,"2","1","2","1","1","1","2","2","1","2","2","1","3","1","1","1","1",1,5,3,2,4,"1",1,0,1,0,1,0,"1","4",1,0,0,1,1,3,3,3,4,1993,"975","2"
"0",3,"2","2","2","1",2,"1",1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,"3","2","1","2","2","2","2","2","2","2","3","2","3","2","2","2","2",4,5,1,2,3,"1",1,0,1,1,1,1,"2","4",1,0,0,0,1,3,1,3,2,1993,"976","3"
"3",3,"1",NA,"2","1",2,"2",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,"2","2","1","1","2","2","3","3","3","2","3","2","2","2","2","2","2",3,5,1,2,4,"2",1,1,1,1,1,1,"1",NA,1,0,0,0,1,2,3,1,3,1993,"981","2"
"0",2,"2",NA,"1","2",1,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","2","2","2","2","3","2","2","3","3","3","2","3","2","2","3","3",3,5,1,4,2,"1",1,1,1,1,1,1,"1","4",1,0,0,1,1,1,1,1,1,1993,"985","2"
"0",2,"2","2","1","1",4,"2",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,"2","1","2","1","1","1","1","1","1","2","2","1","2","1","1","2","2",5,4,2,3,1,"1",1,1,1,1,1,1,"1","4",0,0,0,0,1,2,3,1,2,1993,"1008","3"
"1",2,"2","1","3","2",3,"2",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,"2","1","2","1","2","1","2","2","1","3","2","1","2","1","1","2","2",5,4,1,3,2,"1",1,1,1,1,1,1,"1","4",NA,0,0,1,0,1,3,2,1,1993,"1009","3"
"1",3,"2","2","2","1",3,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,"2","1","2","1","2","2","1","2","2","2","2","2","2","1","2","2","1",3,4,5,2,1,"1",0,0,1,0,1,0,"1","3",0,0,0,0,0,4,2,3,5,1993,"1010","4"
"3",4,"1","3",NA,"1",2,"1",1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,"2","1","2","1","2","2","2","2","2","2","3","2","3","2","2","2","2",5,4,1,2,3,"1",1,1,1,1,1,1,"1","3",1,0,0,NA,1,3,2,4,3,1993,"1012","3"
"1",2,"2","1","2","1",4,"1",1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,"2","1","2","2","2",NA,"3","3","2",NA,"2","2","2","2","2","3","2",5,4,1,2,3,"1",1,1,1,1,1,1,"2","4",1,0,0,1,1,1,1,1,1,1993,"1014","4"
"4",5,"2","2","2","3",2,"1",0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,"2","1","2","1","2","2","2","2","2","2","2","2","2","1","1","3","2",4,5,3,1,2,"1",1,0,1,0,1,0,"1","1",1,0,0,1,1,2,2,1,3,1993,"1018","3"
"5",5,"2","2","1","1",6,"1",1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,"2","2","2","2","2","2","2","3","2","2","2","1","2","1","1","2","1",4,5,1,3,2,"1",1,0,1,0,1,0,"1","4",1,0,0,1,1,3,4,2,3,1993,"1026","3"
"5",5,"2","1","1","2",5,"2",1,0,0,1,0,0,1,NA,0,1,0,0,1,1,0,1,1,NA,"2","1","2","2","1","1","2","2","2","1","1","1","1","1","2","1",4,5,1,2,3,"1",1,0,1,0,1,0,"1","1",1,0,0,1,1,3,4,2,5,1993,"1034","2"
"5",4,"2","1","2","1",2,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","2","1","1","3","2","2","2","3","1","3","2","3","2","2","2","2",3,5,1,2,4,"3",1,0,1,0,1,0,"1","1",1,0,0,1,1,3,4,2,4,1993,"1035","2"
"4",5,"2","2","1","2",3,"1",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,"2","1","2","1","2","2","3","2","2","2","2","2","3","2","2","2","2",5,4,1,2,3,"2",1,1,1,1,1,1,"1","4",1,0,0,1,1,3,4,3,4,1993,"1046","2"
"2",3,"1","2","1","2",5,"2",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,NA,1,"2","1","2","1","3","2","3","2","2","3","3","2","3","2","2","2","2",4,5,1,2,3,"1",1,1,1,1,1,1,NA,"3",1,0,0,1,1,NA,NA,2,4,1993,"1058","4"
"2",3,"2","2","2","3",5,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","1","2","2","3","1","3","3","1","3","1","1","2","3","2","3","2",4,5,1,2,3,"2",1,1,1,1,1,1,"1","4",1,0,0,1,1,3,5,3,5,1993,"1059","4"
"6",4,"2","3","1","1",3,"1",1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,"2","1","2","1","2","2","3","2","3","2","2","2","2","2","1","3","2",4,5,1,3,2,"1",1,1,1,1,1,1,"1","1",1,0,0,1,1,3,3,3,3,1993,"1081","3"
"3",5,"1","2","2","1",3,"1",0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,"2","1","1","2","2","1","2","2","2","2","3","1","2","2","1","2","1",5,4,3,1,2,"3",0,0,1,0,1,0,"2","2",1,0,0,1,1,3,2,2,2,1993,"1091","2"
"2",4,"1","1","1","1",3,"2",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,NA,"2","1","2","3","2","3","3","3","2","1","3","2","2","2","3","1",1,5,3,2,4,"2",1,1,1,1,1,1,"1","1",0,0,0,1,1,3,2,1,5,1993,"1092","2"
"1",3,"2","1","2","1",1,"1",1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,"2","1","1","1","2","2","1","2","3","3","2","1","2","2","1","2","1",3,5,1,2,4,"3",1,1,1,0,1,1,"1","2",1,0,0,1,1,3,1,3,5,1993,"1101","3"
"4",6,"2","1","2","2",2,"1",0,0,0,0,0,1,1,0,0,1,1,0,1,1,NA,1,1,"2","1","1","2","2","1","1","1","2","2","1","1","1","1","1","1","1",2,5,3,1,4,"1",1,1,1,1,1,1,"2","1",0,0,0,NA,1,2,3,2,4,1993,"1110","3"
"5",5,"2","1","2","3",3,"1",1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,"2","2","2","1","2","2","2","3","3","3","3","1","3","2","3","2","1",1,5,3,2,4,"1",0,0,0,0,0,0,"1","1",1,0,0,1,1,3,3,2,5,1993,"1120","2"
"3",4,"2","1","1","1",4,"1",0,0,1,1,1,NA,0,NA,NA,0,0,0,0,1,0,1,1,"2","2","1","2","2","2","2","2","2","3","1","1","2","2","1","2","1",2,5,1,3,4,"2",1,0,1,0,1,1,"1","1",1,0,0,1,1,2,3,2,3,1993,"1133","1"
"1",3,"2","2","2","2",3,"2",1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,"2","1","1","2","2","1","1","2","2","2","3","2","3","1","2","3","2",4,5,1,3,2,"1",1,0,1,0,1,0,"1","1",1,0,0,1,1,3,3,1,5,1993,"1149","2"
"6",6,"2","2","1","1",3,"2",1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,"2","2","2","1","2","2","2","2","2","3","2","1","3","2","2","2","2",4,5,1,3,2,"1",0,0,1,0,0,0,"1","1",1,0,0,1,1,3,4,3,3,1993,"1157","3"
"6",6,"2","2","1","2",6,"2",1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,"3","1","1","2","2","1","2","2","3","3","3","1","3","2","1","2","1",2,5,1,4,3,"1",1,0,1,0,1,0,"1","1",1,0,1,1,1,4,4,5,5,1993,"1168","3"
"3",2,"2","1","2","2",1,"1",0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,"3","1","1","2","3","2","2","2","3","3","3","2","3","2","2","3","2",4,5,1,2,3,"1",0,0,1,0,0,0,"1","1",1,0,0,1,1,2,2,1,5,1993,"1178","2"
"2",7,"1","1","1","1",4,"1",1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,"2","2","1","2","3","3","3","3","3","2","2","3","3","2","3","2","2",4,5,3,2,1,"2",1,1,1,1,1,1,"1","1",1,0,0,1,1,1,3,1,5,1993,"1188","2"
"5",6,"2","2","1","2",6,"1",1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,"2","2","1","2","3","2","2","3","3","3","3","1","3","2","2","3","3",4,5,1,3,2,"1",1,1,1,1,1,1,"1","1",1,0,0,1,1,4,5,5,5,1993,"1206","3"
"4",5,"2","2","2","2",6,"1",1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,"2","2","2","1","2","1","2","2","3","3","2","1","3","2","2","3","1",2,4,5,3,1,"1",0,0,0,0,0,0,"1","1",1,0,0,1,1,3,3,2,4,1993,"1219","3"
"6",4,"2","2","2","2",1,"2",0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,"2","2","1","2","2","2","3","2","3","3","2","2","2","1","2","2","1",2,5,1,3,4,"1",1,0,1,0,0,0,"1","1",1,0,0,1,1,3,5,3,3,1993,"1239","3"
"7",4,"2","2","3","2",7,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,NA,"1","2","1","3","2","3","2","3","3","2","2","2","2","2","3","3",5,4,1,3,2,"2",0,0,1,0,0,0,"4","4",1,0,0,1,1,3,5,1,5,1993,"1245","3"
"1",4,"1","1","1","2",1,"1",1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,NA,0,NA,"2","2","1","2","3","2","2","2","2","1","1","1","2","1","3","1",1,5,3,4,2,"1",1,1,1,1,1,1,"1","1",1,0,0,1,1,3,3,3,5,1993,"1252","2"
"7",5,"2","3","3","2",5,"1",1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","2","1","2","2","3","2","1","3","3","3","2","3","2","2","3","3",1,5,2,3,4,"1",1,0,1,0,1,0,"1","1",1,1,1,1,1,5,5,4,5,1993,"1255","3"
"3",2,"1","1","1","2",3,"2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"2","2","1","2","2","1","1","1","3","3","1","1","1","1","2","2","1",3,5,2,1,4,"2",1,0,0,0,1,0,"4","1",0,0,0,1,1,4,2,2,4,1993,"1258","3"
"5",4,"3","1","2","2",4,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","2","1","2","2","2","3","1","3","2","1","1","2","1","1","3","1",3,4,5,2,1,"1",1,1,1,1,1,1,"1","1",1,0,0,1,1,2,3,2,4,1993,"1259","2"
"4",2,"3","2","1","1",6,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,"2","2","1","2","3","2","3","2","2","3","1","1","3","1","1","2","3",4,5,1,2,3,"1",1,1,1,1,1,1,"2","4",1,0,0,1,1,4,5,2,4,1993,"1277","1"
"5",5,"2","3","3","1",5,"2",0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,"2","1","2","1","2","1","2","2","2","2","2","2","3","2","1","3","1",4,5,1,2,3,"2",1,0,1,0,1,0,"1","1",0,0,1,1,1,4,4,3,5,1993,"1296","3"
"2",1,"1","2","2","2",4,"1",1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,"2","2","2","2","2","1","1","1","3","1","2","1","3","3","1","3","1",1,5,4,2,3,"1",1,0,1,1,1,1,"1","1",1,1,0,1,1,3,2,2,4,1993,"1302","2"
"0",6,"1","3","3","2",7,"1",1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,"2","1","1","2","2","1","2","1","1","3","2","2","3","3","2","3","1",NA,NA,NA,NA,NA,"2",1,1,1,1,1,1,"1","1",1,1,1,1,1,4,5,3,4,1993,"1305","3"
"3",6,"2","2","2","2",1,"2",0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,"2","2","1","2","1","1","1","1","1","2","1","2","1","2","1","2","1",1,5,2,3,4,"1",1,0,1,0,NA,0,"1","1",1,0,1,1,1,2,5,1,5,1993,"1312","2"
"5",4,"2","1","3","2",3,"1",0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,"2","2","2","2","2","1","1","2","3","2","2","2","2","2","1","3","2",4,5,1,3,2,"1",1,1,1,1,1,1,"1",NA,1,0,0,1,1,3,1,3,5,1993,"1313","2"
