"PARTYID","POLVIEWS","NATROAD","NATSOC","NATMASS","NATPARK","EQWLTH","TAX","SPKATH","COLATH","LIBATH","SPKRAC","COLRAC","LIBRAC","SPKCOM","COLCOM","LIBCOM","SPKMIL","COLMIL","LIBMIL","SPKHOMO","COLHOMO","LIBHOMO","CAPPUN","GUNLAW","COURTS","HELPFUL","FAIR","TRUST","CONFINAN","CONBUS","CONCLERG","CONEDUC","CONFED","CONLABOR","CONPRESS","CONMEDIC","CONTV","CONJUDGE","CONSCI","CONLEGIS","CONARMY","OBEY","POPULAR","THNKSELF","WORKHARD","HELPOTH","GETAHEAD","ABDEFECT","ABNOMORE","ABHLTH","ABPOOR","ABRAPE","ABANY","XMARSEX","HOMOSEX","POLHITOK","POLABUSE","POLMURDR","POLESCAP","POLATTAK","HELPPOOR","HELPNOT","HELPSICK","HELPBLK","YEAR","ID_","CLASS_"
"0",5,"1","1","2","2",1,"1",0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,"2","1","1","1","2","2","1","1","2","1","2","1","3","1","1","1","1",1,5,3,4,2,"1",1,0,1,1,1,0,"1","1",1,0,0,1,1,1,1,1,5,1987,"119","4"
"2",3,"2","2","2","2",7,"1",1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,NA,"2","2","1","2","1","1","2","2","2","2","2","2","2","1","2","2",4,5,2,1,3,"1",0,0,1,0,1,0,"2","4",1,0,0,1,1,4,4,2,2,1987,"121","4"
"3",5,"1","1","2","1",5,"1",1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","2","2","2","2","2","2","2","3","3","2","1","3","2","2","2","3",5,4,1,2,3,"3",1,1,1,1,1,1,"2","3",1,0,0,1,1,4,3,2,5,1987,"131","2"
"4",5,"2","1","2","2",5,"2",1,NA,1,1,1,0,0,0,0,0,0,1,NA,1,0,1,1,"3","1","1","1","2","2","1","2","1","2","2","1","1","1","1","1","2",2,4,5,3,1,"3",1,0,1,0,1,0,"1","1",1,0,0,1,1,3,3,1,3,1987,"137","2"
"5",4,"2","1","3","3",2,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","2","1","2","2","1","2","2","2","3","2","1","3","1","1","2","3",4,5,1,3,2,"1",0,0,NA,0,0,0,"1","1",1,0,0,1,1,4,3,1,5,1987,"144","2"
"3",4,"2","2","2","1",3,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","2","2","2","1","2","3","2","2","3","2","1","2","1","1","2","2",4,5,1,3,2,"1",1,0,1,0,1,0,"2","4",1,0,0,1,1,3,4,3,5,1987,"145","2"
"2",4,"2","1",NA,"1",7,"1",1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,"3","2","1","2","2","2","2","2","3","2","3","2","2","2","2","2","2",5,4,2,1,3,"1",1,1,1,1,1,1,"1","4",1,0,0,0,1,3,3,2,3,1987,"153","2"
"3",4,"2","2","2","2",3,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,"2","2","1","2","1","1","3","2","3","3","1","1","2","1","1","3","3",5,4,1,3,2,"2",0,0,1,0,1,0,"2","4",1,0,0,1,1,1,2,1,3,1987,"158","3"
"4",4,"2","2","2","2",2,"1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"3","2","2","1","2","2","2","1","2","2","2","1","2","2","2","2","2",1,5,2,4,3,"1",1,1,1,1,1,0,"1","1",0,0,0,0,1,5,NA,3,5,1987,"174","2"
"2",2,"1",NA,"1","1",3,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","3","2","2","2","2","3","2","2","2","2","2","3","2","2","2","2",5,4,1,3,2,"1",1,1,1,1,1,1,"1","4",1,0,0,1,1,3,4,3,1,1987,"176","3"
