"","PARTYID","TAX","FUND","HAPPY","LIFE","SATJOB","SATFIN","FINALTER","XMOVIE","FEAR","PISTOL","SHOTGUN","RIFLE","PHONE","YEAR","ID_","CLASS_"
"76","1","1","3","1","1","1","1","1",0,1,"1","2","2","3",1984,"745","3"
"77","1","1","1","2","2","3","2","1",1,1,"2","2","2","1",1984,"771","2"
"78","6","1","1","2","2","4","3","2",0,1,"2","2","2","3",1984,"774","2"
"79","1","1","2","1","1","1","1","1",1,0,"2","2","2","3",1984,"778","4"
"80","3","2","2","3","2","2","3","2",1,0,"2","2","2","4",1984,"787","2"
"81","1","1","3","2","2","3","2","1",0,0,"2","2","2","3",1984,"797","3"
"82","0","1","1","1","1","1","3","1",1,1,"1","1","2","3",1984,"802","2"
"83","2","2","1","1","1","1","2","3",0,0,"2","1","2","3",1984,"817","2"
"84","3","2","3","1","2","1","2","1",0,NA,"2","1","2","3",1984,"825","2"
"85","6","2","3","2","1","2","2","1",1,1,"1","1","1","3",1984,"842","3"
"86","5","1","1","2","2","2","2","3",1,0,"2","2","2","3",1984,"879","3"
"87","2","1","1","1","1","4","2","3",1,0,"2","1","2","4",1984,"895","2"
"88","6","1","2","2","1",NA,"1","3",0,1,"2","2","2","3",1984,"911","3"
"89","0","1","2","2","1","1","1","1",0,0,"2","2","2","3",1984,"916","2"
"90","5","2","3","3","2","3","1","1",0,0,"2","2","2","3",1984,"925","3"
"91","3","1","2","2","2","2","3","3",0,1,"2","2","1","3",1984,"936","3"
"92","1","1","2","3","1","1","2","1",0,1,"1","1","1","2",1984,"973","2"
"93","5","1","2","2","1","1","2","3",0,1,"2","2","2","2",1984,"976","3"
"94","6","2","3","2","2","3","1","1",1,0,"1","2","1","3",1984,"984","2"
"95","0","1","2","2","2","1","1","1",0,1,"2","1","2","3",1984,"996","3"
"96","0","1","1","3","2","2","2","3",0,0,"1","1","2","3",1984,"1001","2"
"97","1","2","2","2","1","2","3","1",0,0,"2","2","1","3",1984,"1012","2"
"98","5","1","3","1","1","2","2","1",1,1,"2","2","1","3",1984,"1015","2"
"99","5","2","1","2","1","1","1","3",0,0,"2","2","2","3",1984,"1018","3"
"100","1","1","2","2","2","2","3","3",1,0,"2","1","1","3",1984,"1027","2"
"101","6","1","1","1","1","4","2","2",0,0,"3","3","3","2",1984,"1029","2"
"102","4","2","2","1","1","1","2","1",0,0,"1","1","1","3",1984,"1041","3"
"103","3","1","3","1","1","3","2","2",1,0,"2","2","2","3",1984,"1042","3"
"104","1","2",NA,"2","2","1","2","3",0,0,"2","1","1","3",1984,"1075","3"
"105","5","2","2","2","2","4","3","2",1,0,"2","1","2","1",1984,"1077","3"
"106","2","1","2","2","1","4","2","2",0,0,"2","1","2","3",1984,"1080","3"
"107","3","1","1","2","2","2","3","2",0,0,"2","2","2","4",1984,"1084","2"
"108","2","1","2","2","1","1","3","2",0,0,"2","2","2","1",1984,"1091","2"
"109","1","1","2","2","2","4","2","1",0,1,"2","2","2","3",1984,"1097","2"
"110","4","2","2","1","1","1","1","1",0,0,"2","2","2","3",1984,"1100","2"
"111","2","1","3","3","2","3","3","3",0,0,"2","1","2","1",1984,"1102","2"
"112","5","2","3","2","2","1","1","3",0,0,"3","3","3","3",1984,"1104","2"
"113","3","1","2","2","2","1","2","3",0,0,"2","2","2","3",1984,"1112","2"
"114","4","2","1","2","1","2","3","3",0,0,"2","2","2","4",1984,"1132","2"
"115","2","1","1","2","2","2","3","2",0,0,"1","2","2","3",1984,"1140","2"
"116","2","1","2","2","2","2","2","2",0,0,"2","1","1","3",1984,"1152","2"
"117","3","1","2","1","1","1","2","1",0,0,"2","1","1","3",1984,"1154","2"
"118","2","2","2","2","2","1","1","2",0,0,"1","1","1","3",1984,"1172","3"
"119","0","2","2","2","2","3","3","2",0,0,"2","2","2","3",1984,"1189","2"
